,review_no,discount_text
1327797,823976,item provided for review
1327836,3055579,product was provided for review
1329352,2428748,product was provided for review
1331856,1464147,product was provided for review
1332220,3275636,product was provided for free
1332280,2512538,item was provided for review
1332690,1625868,Product supplied for review
1333356,436625,product was provided for review
1333713,2836776,Product sent for review
1335154,208300,item sent to me for review
1335616,399109,"unit supplied yet - will report back on that. Videographers might note that there is an external mike that works with the hotshoe and uses no cables at all, nice!<br /><br />In general, I find the NX1000 easy to use, the manual focus works well, the Smart mode seems to do fairly well, there are a great many scene modes and other (somewhat gimmicky) features (Magic filters/frames, etc.).  I enjoyed playing with those on the WB150F, but they seem out of place here.  There are a superb number of image adjustments, exposure tweaks, and  controls of a more serious nature as well. When you want to get serious, this camera is ready.  Also, some of  the fun things, like the Panorama mode, do work well if you understand their limitations and keep your expectations reasonable.<br /><br />As expected, the APS-C sensor renders a lot of good image detail. This is the big plus for this camera. I was very pleased with the results under good lighting conditions.  I shoot a lot of landscape and street stuff, and this camera seems well suited for that.  The noise reduction seems to work well up to about 1600 or so (maybe 800 for purists).  Colors are accurate and not over-saturated like on many consumer cameras.  If you like the &#34;boost&#34; many cameras give by default, there is a &#34;Vivid&#34; mode which will do this for you.  Personally, I prefer the more realistic colors (one of the things I like about Olympus and (most) Panasonics as well).Sharpness is good in JPEGs (I have not shot RAW yet) and tones are nice and smooth (think large expanses of blue sky and clouds).  I'm sure with experience my results will improve over these initial test shots, so that bodes well.  If you like to print big, 16x20, even 20x30 possibly, you will be able to do so, which is very nice.<br /><br />The 20-50mm kit lens is nice enough, but has a very limited range compared to what I am used to.  (I am considering getting the 30mm lens which I think would make a nice compact package for everyday use.)  However, the images look good, sharp, detailed, so I am happy with it.  Video worked well and the zoom worked fine in video mode and was silent.  In casual use, there is no need to switch the dial to video mode, you can just press the Video button on the back and after a slight pause you're in action.  This is nice.  Of course, dialing to full video mode gives you more options.<br /><br />Wifi features worked fine, I was able to easily connect and save pics using the autobackup mode.  Skydrive and others worked fine.  Have not tried the mobile link and remote view finder apps yet. (Update:  I tried these apps out and they worked OK for the most part.  A bit flaky at times.  There is a new &#34;Smart Camera app&#34; to replace these, but it only works with the new firmware.  Since I have not yet upgraded the firmware, have not tried it.)  The PC_Autobackup mode works very well for transferring pics and movies to your PC.  It remembers what has been transferred and only transfers new items.  Best to transfer frequently, since slower than reading from a card, but all automatic and very convenient.  [You can also transfer photos to your mobile devices (phone/tablet) using the other apps (Mobile Link/Smart Camera).]<br /><br />Example: You get back from shooting, you activate the PC-Autobackup on the camera (your laptop/PC and network must be on, of course), and the camera will connect and begin transferring your content.  When done the camera will turn-off (unless you press a control button within 30 seconds) and you can set the PC to shutdown as well if you like.  Or you can select the &#34;open folder&#34; choice on the PC/notenook popup dialog and view your pics and movies.  All very easy and convenient.<br /><br />There is a &#34;Smart Range&#34; feature to extend  dynamic range and preserve highlights.  It seems to work well, but you lose shadow detail. Might want to turn off by default, I think.  (You can also shoot RAW and tweak things  yourself, of course.)<br /><br />JPEGS look very good to me with a lot of detail and sharpness.  So good that I think shooting JEPG only is feasible with the NX1000.  (You can always switch to RAW or RAW+Jpeg when needed, of course.)  I think many will find the Jpegs entirely adequate for most purposes.  (If you shoot a lot at high ISO's you would definitely want to shoot RAW.)  You have a range of aspect ratios including 1:1, 3:2, and 16:9.  This is nice and gives you flexibility in camera versus cropping later.<br /><br />The 8fps burst mode worked very well, though as has been noted everywhere, there is a lag as the camera processes the shots before you can shoot again.  I am a fairly deliberate photographer and don't shoot much action/sports, so the NX1000 is fine for me.  The occasional lags when switching modes and after bursts or RAW shots are not an issue for me, but could be for some.  It's all covered in many of the excellent online review"
1336330,2205640,Product supplied for the purpose of a review
1337856,2697410,"unit offered by Magellan. One must ask how Magellan can offer so much at a price that is so reasonable. What RoadMate features has been eliminated for this new Magellan RoadMate 1470?     Answer: Nothing, Magellan gave us everything at a price that is unbelievable!    The NEW Magellan RoadMate 1470 offered at a price of less than $239 and is currently the best value for your dollar. This full feature Portable Navigation Device offers all the features you will need to route from point A to Point B anywhere in North America, Puerto Rico and even Mexico if you select to purchase the optional unlock code for this expandable GPS device. Magellan have introduced the most affordable full feature GPS currently available and I feel they have accomplished this successfully.    The Magellan RoadMate 1470 offers so much more, it is BIGGER, Thinner, Smarter and faster than all the older GPS system offered by Magellan at a competitive price similar to the older RoadMate units. Currently this MRM 1470 is the lowest GPS priced available that offers a large 4.7\\"" display with full features including full map coverage of NA map and expandable to Mexico and future Europe maps loaded in a Micro SD card as an option.    How is this entire GPS product possible at the price it is selling for? It offers a much bigger display, 4.7\\"" diagonally and yet the overall physical size is slimmer than a GPS that offers a 4.3\\"" display. It includes smarter features such as OneTouch, quick spell, smart city search, this unit will find street address or POI you are looking for much faster than what is currently available on the GPS market. This unit is Faster and have the ability to search through the entire NAmap data base without having to select different map regions such as Canada, Alaska, Mexico to start a route, it covers the entire NA mapping software in one region so one would not have to fumble around switching regions to route to a destination that is not in the lower 48 states. These RoadMate 1470 also calculates a route much faster and offers not one route but 4 different route options. Route options such as Fastest time, Shortest distant, Most use of free"
1340173,2887727,product was provided for review
1340686,1695497,product was provided at or nearly no cost for the purpose of evaluation
1340897,671444,product was provided at no cost
1341236,2350091,Product received to test with the option to review
1342006,2676173,Product supplied for review
1342075,2882231,product provided for review
1342202,508802,unit gives you the free
1342789,2110695,product was provided at no cost
1342928,1262731,item was provided as a review
1343441,1712340,item provided for review
1343907,3090564,product was provided at no cost
1344970,913854,Item supplied in exchange for evaluation
1345333,1440385,"unit gives you so it's not just a load of meaningless numbers on a display and this makes for interesting reading as you understand in greater depth about your body's composition and what ranges of health you fit into. All in all this is an attractive and easy to use monitor and you will soon be using it daily to check your health and overall fitness, especially if you go to the gym or exercise frequently. If you are in the market for one of these types of monitors then this is well with considering.<br /><br />Feel free"
1345476,861784,product was provided for review
1346432,648082,Item received for sincere review
1346745,2273229,Product received for a honest review
1346901,1618256,Item supplied in exchange for evaluation
1349175,442107,"Product received to test, with the option to review"
1349195,1293512,product was provided for review
1349278,1766921,product gives me the free
1349751,2263449,product was provided at no cost
1350462,353398,"unit supplied yet - will report back on that. Videographers might note that there is an external mike that works with the hotshoe and uses no cables at all, nice!<br /><br />In general, I find the NX1000/1100 easy to use, the manual focus works well, the Smart mode seems to do fairly well, there are a great many scene modes and other (somewhat gimmicky) features (Magic filters/frames, etc.).  I enjoyed playing with those on the WB150F, but they seem out of place here.  There are a superb number of image adjustments, exposure tweaks, and  controls of a more serious nature as well. When you want to get serious, this camera is ready.  Also, some of  the fun things, like the Panorama mode, do work well if you understand their limitations and keep your expectations reasonable.<br /><br />As expected, the APS-C sensor renders a lot of good image detail. This is the big plus for this camera. I was very pleased with the results under good lighting conditions.  I shoot a lot of landscape and street stuff, and this camera seems well suited for that.  The noise reduction seems to work well up to about 1600 or so (maybe 800 for purists).  Colors are accurate and not over-saturated like on many consumer cameras.  If you like the \\""boost\\"" many cameras give by default, there is a \\""Vivid\\"" mode which will do this for you.  Personally, I prefer the more realistic colors (one of the things I like about Olympus and (most) Panasonics as well). Sharpness is good in JPEGs (I have not shot RAW yet) and tones are nice and smooth (think large expanses of blue sky and clouds).  I'm sure with experience my results will improve over these initial test shots, so that bodes well.  If you like to print big, 16x20, even 20x30 possibly, you will be able to do so, which is very nice.<br /><br />The 20-50mm kit lens is nice enough, but has a very limited range compared to what I am used to.  (I am considering getting the 30mm lens which I think would make a nice compact package for everyday use.)  However, the images look good, sharp, detailed, so I am happy with it.  Video worked well and the zoom worked fine in video mode and was silent.  In casual use, there is no need to switch the dial to video mode, you can just press the Video button on the back and after a slight pause you're in action.  This is nice.  Of course, dialing to full video mode gives you more options.<br /><br />Wifi features worked fine, I was able to easily connect and save pics using the autobackup mode.  Skydrive and others worked fine.  Have not tried the mobile link and remote view finder apps yet. (Update:  I tried these apps out and they worked OK for the most part.  A bit flaky at times.  There is a new \\""Smart Camera app\\"" to replace these, but it only works with the new firmware.  Since I have not yet upgraded the firmware, have not tried it.)  The PC_Autobackup mode works very well for transferring pics and movies to your PC.  It remembers what has been transferred and only transfers new items.  Best to transfer frequently, since slower than reading from a card, but all automatic and very convenient.  [You can also transfer photos to your mobile devices (phone/tablet) using the other apps (Mobile Link/Smart Camera).]<br /><br />Example: You get back from shooting, you activate the PC-Autobackup on the camera (your laptop/PC and network must be on, of course), and the camera will connect and begin transferring your content.  When done the camera will turn-off (unless you press a control button within 30 seconds) and you can set the PC to shutdown as well if you like.  Or you can select the \\""open folder\\"" choice on the PC/notenook popup dialog and view your pics and movies.  All very easy and convenient.<br /><br />There is a \\""Smart Range\\"" feature to extend  dynamic range and preserve highlights.  It seems to work well, but you lose shadow detail. Might want to turn off by default, I think.  (You can also shoot RAW and tweak things  yourself, of course.)<br /><br />JPEGS look very good to me with a lot of detail and sharpness.  So good that I think shooting JEPG only is feasible with the NX1000.  (You can always switch to RAW or RAW+Jpeg when needed, of course.)  I think many will find the Jpegs entirely adequate for most purposes.  (If you shoot a lot at high ISO's you would definitely want to shoot RAW.)  You have a range of aspect ratios including 1:1, 3:2, and 16:9.  This is nice and gives you flexibility in camera versus cropping later.<br /><br />The 8fps burst mode worked very well, though as has been noted everywhere, there isa lag as the camera processes the shots before you can shoot again.  I am a fairly deliberate photographer and don't shoot much action/sports, so the NX1000/1100 is fine for me.  The occasional lags when switching modes and after bursts or RAW shots are not an issue for me, but could be for some.  It's all covered in many of the excellent online review"
1350730,519297,product was provided for review
1350818,2358367,product was received for free
1351095,3155839,product was provided for review
1351412,3422483,product was provided for review
1352395,1956631,Product received for review
1352413,1616563,product was received free
1352532,3424182,"Unit received.  Was not home so don't know what day it actually arrived (sorry).  Have not tested it yet.<br />9/23 23 Miles Later - Still working, no leaks.  I have upgraded the product review"
1352576,859622,Product provided for the purpose of testing
1353252,1691017,"product offers 2 game levels dependent on your child's age and skill level.<br /><br />The graphics are not outstanding on the games, but I think it is fine for preschool use. The game console comes with preloaded games. Each time she plays a game, the software \\""remembers\\"" what level she is at and then it increases the difficulty each time she comes back.  The first level of all games are fairly easy but as she gets farther, it gets a little more difficult. She can't play Level 2 on most games yet because they use math concepts and she isn't ready for the addition/subtraction just yet.<br /><br />We have had no problems described by other review"
1353632,2658196,Item received free
1353652,3210081,Item received for testing
1354590,1041753,product given all the review
1355715,192420,product was provided at no cost
1357475,510241,product was supplied for review
1358595,2924212,Product provided for the purpose of testing
1358690,3365256,product was provided for review
1360025,670021,product was provided for review
1360092,2216938,item was given to me for my review
1360431,2403322,product was sent to me gratis for an unbiased review
1362578,3212525,product supplied to me free
1364198,2029397,product was provided for review
1364668,1948763,product was provided for review
1364884,2445972,product was sent to me gratis for an unbiased review
1365787,2041025,product was provided for review
1366138,1558651,item provided at no cost
1367303,1692450,item was provided for review
1367922,916480,"unit provides, and I have only had it for a month or two so I cannot say on these.  The blades are supposed to be self-sharpening and the battery is currently (sorry, loose pun attack) very peppy and lasts plenty long enough for more than one haircut now.    In order to get the really uniform length that makes for a sharp appearance it does take lots of repetitive passes over the same hair spot, but the batteries are well up to this challenge.  Are you?  If you are looking for a one or two pass sort of thing, then you need to look at some much more pricey pro equipment, I imagine, (and maybe hiring a barber to use it, too).  This thing gets me free"
1368990,884979,product was provided for review
1369940,1717204,"product gives you that option).<br /><br />Overall, this is an effective and well-designed light that will make waking up easier and more pleasant.  At $80, it's worth the money.  At $130 (the cost as of this review"
1370761,2713305,product was sent to me gratis for an unbiased review
1371718,1959828,Product received by VTech in exchange for honest review
1371949,2974200,"product provided through Amazon Vine.<br /><br />~ Ana Mardollmeat came out so tough. Someone finally told us to stop using so much liquid and that made all the difference in the world. I now never use more than 1 small can of broth with our roasts and they come out as tender as you can imagine. Also look up how to cut against the grain instead of with it, because that can make a huge difference as well. Good luck!<br /><br />NOTE: This review"
1372350,711736,item was provided to me free
1373188,1404421,item was provided for review
1373369,3329635,product was provided at no cost
1374256,2999096,product was provided for review
1374287,2485798,product was provided for review
1374384,1155257,product was provided for review
1374696,1552289,"unit offers far more bang for the buck than any other mp3 player out there. So I picked one up here, saving twenty over the mallwart price, and am very happy with it, barring the above caveats.<br /><br />The best way to deal with no delete feature seems to be to mark the tracks you don't dig with the \\""wishlist\\"" feature on the options screen, and then when you charge the unit you can open the files and delete tunes you've wishlisted. Much more hassle than deleting on the fly, but at least a workable solution to my main negative about the product.<br /><br />If Sony releases a firmware update that lets us delete on the fly (not sure if that's possible or not; hope so), then I'd have to give this thing an almost perfect rating.<br /><br />Pair it with Koss Portapros and you will be blown away by the sound.]<br /><br />[Edit: 5/12/10. Still working fine after plenty of use while running, hiking, and hooked up to the car stereo. Zero complaints.<br /><br />And here's a tip I learned from a battery expert: these lithium units apparently prefer to be full all the time, and seeing as they don't have \\""memory effect\\"" like normal batteries, it's safe to recharge this unit as often as you like, with no resultant loss of memory over the long haul. But supposedlylithiums also work best and last longest if one lets them drain completely once every 30 recharges or so, and then fully fills them up again. I don't know enough about batteries to confirm or deny (though I've been doing it that way and my walkman is still running a long time before needing juice), but it was a very detailed, well-written discussion by someone with a lot of experience in the field, who wasn't selling anything, and that's the kind of opinion I tend to trust. Just FYI.]<br /><br />[Edit: 1/12/11. Seeing as this review"
1376083,981001,product supplied to me by the seller free
1377760,105760,item was provided for review
1378056,2813616,unit is getting such good review
1378109,3400961,product was provided for review
1379690,152524,product was provided for review
1381649,1242793,product was provided for review
1382676,138165,product received for a honest review
1384515,2929146,item was provided for review
1385325,3503120,"unit is received they will ship my replacement.<br /><br />Well I have tried and tried to get a fax to go through and there is no answer.<br /><br />So I sent another email to Breville today (By the way they have not yet to responded to my 1st email sent on 01/06 after not getting a customer service rep)asking for the correct fax or an email address to send the receipt to.<br /><br />But I have to state again, I loved my oven until it failed and I miss it. We keep burning our english muffins in our old toaster and having to heat up the big oven for something small is such a waste.<br /><br />Ironically I bought a 59.00 microwave from Walmart on the same day as I received my Breville and it is still going strong.<br /><br />UPDATE ON 01/10/2011 AT 1:32 PM EST<br /><br />Breville responded and gave me a different fax number and I was able to fax my receipt to them. Will udpate as progress as this progresses.<br /><br />Update 02/14/2012<br /><br />I received my replacement and it was returned on 02/07 due to the display being very dim and not legible unless you looked down at an angle or from the side. We also noticed that the toast quality and cooking quality was not up to par.<br /><br />Update 02/27/2012<br /><br />I received my second repleacement and it is also having the LCD display issue. Breville has now advised that the oven is designed to be used on a counter top and that recently after I purchased my first oven, the LCD was redesigned to be dimmer. So I am now stuck with an oven that I cannot read the LCD screen unless I look up, down or left or right to see the display. If I looks straight at the LCD screen it is barely legible. Aslo the toast quality and cooking quality is no longer as exceptional as the first oven.<br /><br />I am now giving this oven a 1 start review"
1385920,2854790,item was provided by the manufacturer for testing
1386617,633702,product was provided for review
1386656,1735730,item was provided for review
1389007,42937,product get you Microsoft office and call it a day. I have never use this product...you can download something like this for free
1389268,617755,product was provided for review
1391621,2632782,product was received for review
1392069,904622,"product got approved for wide release manufacture and distribution. I did small handfuls of leaves as the manual states and even this resulted in constant clogging. After about every 5 handfuls I had to make sure it was turned off and reach in and clean out. Don't bother taking the plastic top off because it is not shaped exactly as needed to align easily and when removing as well as attempting to put this back on the experience was 10 times more difficult because the legs kept unlocking.<br />3. You are given a bag of the weed whacker type ties that are used to shred. In the manual it states you should only buy their specially manufactured ties for this product. How nice of them, you think when you realize you've been given 20 extra replacement lines included in your purchase. HA! Small twigs and wet leaves destroy these things easily. Had to replace the ties about every 10 small handfuls. Once again don't bother taking off the plastic tub. Unplug the product and have a screwdriver or small knife handy to remove the ties and replace them. Get used to this process which will waste about 5 mins each time (if you're lucky and the legs don't unlock and adjust while you are attempting to do so.<br />4. The manual says the product requires minimal maintenance. There are several settings, one especially for wet leaves. Only put in 1 handful of wet leaves at a time vs the two handfuls at a time for dry leaves. Even following these instructions it constantly clogged. Unplug the machine, reach your gloved hand in and remove all the dirt, mud and other residue that has built up and once again rendered your machine worthless in a matter of minutes. This debris builds up quickly because for reasons unbeknownst to logic the bottom of this machine doesn't have large openings for material to fall through into the bag. There are four small openings within the plasticpiece which cause residue to build up quickly, more easily breaks the plastic ties and takes far longer for the machine to clear and have the leaves placed in the bag. After about 4 attempts of the bag filling up slightly, rubbing the plastic legs and causing them to unlock and add about 10 more minutes off maintenance I said no more bags thinking things would work far better. After not having a bag there you will also realize rather quickly that it doesn't shred the leaves very finely. This would've required me doing about 3 runs of processing on each handful of leaves. More wasted time.<br />5. How valuable is your time??? As said before you probably only need this if you have a lot of leaves. I had cleared about 20 contractor bags of leaves out of the yard before I said, no more trips to the landfill and theres still probably 15-20 contractor bags worth left over. The irony here is if you have minimal leaves you don't need this and if you have a lot of leaves, well this machine is not well built enough, reliable or powerful enough to get the job done. If you have a small amount then just rake them into a bag lined trash can, tie it up and call it a day or mow them and shred in a matter of minutes. You'd even be better off buying a large tub or bucket, dropping the leaves by hand in there and then placing a weed whacker in it . Then repeat that process. That would save you a tremendous amount of time and effort. Oh yeah put in headphones or earplugs because this piece of work is incredibly loud, which was hilarious given how ineffective it was at doing its job and the lack of power it seemed to have. Loud bark and no bite and your neighbors will despise you quickly. The vacuum feature to suck the leaves downward to shred is not as strong as you would think given how loud this baby is and so when you feed leaves be prepared to put your gloved hand or the end of a rake, shovel etc to move the leaves to feed it. This wastes even more time of an already bad process. So the process is this. You'd already need to have leaves raked into piles or maybe in a garbage can. You really cant dump the can into the machine because it will clog. So after you've got your pile ready now you need to grab a handful or two at a time. Wait to see that each handful clears the machine completely and then drop your next handful or two into the plastic tub portion. Make sure that as you wait to drop the next handful you pick out any and all small twigs, debris, roots, etc otherwise its going to get jammed in a matter of minutes. Also, unless your yard is completely flat this is not a real mobile machine. It's light and easy to move but you'll need to go through the cumbersome process of adjusting and readjusting which means bring all your leaves to one large pile or separate into multiple piles throughout but prepare to deal with the adjustment process so the machine will avoid falling over while running.<br />From a value perspective, assuming things worked near as expected this thing is overpriced $120-$150? Should be about $75 tops which you'll realize once you see and feel the material especially with the legs which are of bad material and undersized which makes this a top heavy machine. Expect to spend time and money replacing the shredder lines, prepare to be disappointed about its effectiveness, the waste of your time for a product that was supposed to save you time and be fully aware of your refund deadline.<br /><br />*I decided to let Amazon send a replacement shredder in and effort to determine if mine was defective. I have not used it yet since I received it in the evening however as I am putting it together I am noticing significant scuffs on the funnel/feeder cover portion as well as various yellow discolorations showing on the green plastic. This replacement has clearly been used and then sold and shipped as &#34;New&#34;. I will update the review"
1392578,734850,"product gets five stars for its fancy and colorful packaging. Unfortunately that's not edible :) The bag is a lot bigger than it needs to be as it contains just 4.5 ounces of chips. 1oz of chips is the serving size which is 130 calories and according to the packaging, 1oz is one full serving of vegetables. It has 3g of protein, no cholesterol, 7g fat (0.5g saturated, 0g trans), 140mg sodium (6% RDA), 17g carbs (3g fiber, 1g sugars), 35% Vitamin A and tiny percentages of iron, Vitamin C and calcium. The front of the package says sea salt.<br /><br />It tastes like a blend of its list of ingredients. There is a distinct taste and after-taste that is not unpleasant, but also not pleasant. It has similar effects as traditional potato chips, it drives you to eat more and more. The leading ingredients are navy beans, dried potatoes, rice flour and oils (sunflower, canola). Then there's potato starch, carrot, sweet potato, maltodextrin, sea salt, onion powder, sugar, konjak flour, garlic powder, citric aid and the biggest loophole of all, natural flavor. Which plant or tree makes this \\""natural flavor\\""? :)<br /><br />The package has a certified Gluten Free"
1392668,429697,"item given the date change. I then decided to buy a 360 game to play and utilize the new features of my Xbox and I got Call of Duty 4. The game was terrific and I quickly became addict to it, I then started to use the console more often. About three weeks ago, I came home from the office and turned on the console, the disc tray made a strange noise and there seemed to be no disc on it as the dashboard had the `Open Tray' text in it, I was almost certain I hadn't removed the game so I checked, the game was indeed in the tray, the console would simply not recognize a disc in it. I tried CDs, DVDs and other games and got the same result, no disc was recognized at all and the tray made noises every time I opened/closed it.<br /><br />The console had a warranty note asking you not to go back to the retailer in a case like this as they may not be `as well prepared as their technicians' and contact their support center instead. I did that and after waiting on the line for a while a person finally answered, I had to struggle with them as they could barely speak English, since I do speak Spanish I tried to make it easier for the guy, I don't know which part of south America they're from but even in Spanish I had a hard time understanding what he was saying and had the guy repeat almost everything he said. This person asked me to contact my supplier first and see if warranty applied (even though the warranty info on the box asks you to go to Microsoft first), the reason for that he said, was that the supplier could simply change the unit and provide me with a new one. He told me I could mail them my console to fix it, but if that were the case, it was likely that they would simply replace the disc drive with a used one, if the console need to be changed, they could mail me back a refurbished one at the risk of it being an older unit without the features of the one I purchased (of course, had I purchased their extended service contract they would `gladly' send me a new unit free"
1392677,3075275,"product provides AMAZING pain relief! At least it works for me...<br /><br />UPDATES:<br />1. New packaging, same great product! The flip top is a nice convenience.<br /><br />2. This seller has a fantastic price. Two bottles for the price that others charge for one!<br /><br />3. FAST shipping! This seller gets it to you in record time.<br /><br />Original Review"
1393518,1374123,Unit provided to review
1393820,1439787,item was provided for review
1393898,2450847,Item provided by manufacturer in exchange for an honest review
1394349,198295,"Unit provided by SACO assisted the 14th Air Force in recognizing and destroying Japanese vessels and facilities.    SACO played a major role in the 14th Air Force System of patrol in the China Sea-Phillipines Sea area which was of direct operational value to the Pacific Fleet. In October 1944 it gave the first intelligence of an approaching Japanese Carrier Task Force during the crucial battle for Leyte Gulf.    On their side the Chinese provided guerillas to protect the American observers. For their role the Navy trained and armed these guerillas, who later used their new weapons and \\""new skills in modern warfare and formed demolition squads to kill Japanese, blow up trains and destroy or capture great quantities of enemy material and equipment. Soon they wanted American observers to accompany them and requested that the American instructors whom they admired so much should plan their operations with them and assist in leading them in combat. SACO demolition squads became an important force in the war in China, giving reliable and effective service in many assignments under the campaign plans \\""of the Generalissimo and Lieutenant General Albert Wedemeyer, his Chief of Staff and Commander of all U.S. Forces in the China Theater.    In the early years of the war, Chinese guerillas had lost in combat approximately three men for every Jap killed. SACO-trained and equipped guerillaspromptly increased the toll of Jap losses in casualties, equipment and supplies and in 1945 reversed the ratio and killed more than 2,000 Japs a month at a cost of less than one Chinese for three Japs.    Used chiefly in ambushes, raids on outposts, patrols and small garrisons these troops struck repeatedly against roving Japs out on search for food in rural areas. By repeatedly wiping out these foraging groups, SACO guerillas cut enemy food supplies and made the Japanese afraid to venture from their strongholds except in force, in some areas the guerilla pressure was so great that Japanese soldiers were weakened seriously by starvation.    Demolition work against highways, railroads and river traffic was effective in cutting enemy communication routes. Sabotage experts employing explosives did wholesale destruction to barracks, assembly halls, factories, storage dumps and warehouses.    Raids against anchored Japanese vessels and small craft resulted in the sinking of many vessels and capture of others. In one of many such raids a sabotage unit of Chinese and Americans attacked a freighter of 1,000 tons docked in Amoy at night early this year, using delayed charges to kill or injure all personnel aboard, destroy the freighter and throw the Amoy area into confusion. Other sabotage units developed special tactics for operations against river and lake craft in the Yangtze River Lake area and were successful in attacks on this Japanese supply route at many points.    SACO guerillas from June 1, 1944, to July 1, 1945, killed 23,540 Japs, wounded 9,166 and captured 291. They destroyed 209 bridges, 84 locomotives, 141 ships and river craft, and 97 depots and warehouses. SACO activities have been inspected in recent months by Generalissimo Chiang Kai-shek, United States Ambassador Patrick J. Hurley and Lieutenant General Wedemeyer and received high praise from each.    Maintaining constant pressure against Jap garrisons along the China coast, SACO troops were prominent inthe liberation of Foochow and Wenchow. Some SACO units, including several Chinese Naval Officers were trained in the United States for amphibious work. These units captured and occupied several of the smaller Jap-held islands along the China coast.    Recognizing the special difficulties in keeping Japs and puppets from infiltrating into Free"
1394853,2949047,product was provided at no cost
1396344,2602141,unit given the review
1396398,2484125,item provided for review
1398631,494506,product was provided at or nearly no cost for the purpose of evaluation
1400524,1664534,product was provided to me gratis in exchange for an honest review
1400533,684669,Product received at discount for review
1401528,192786,Product received for a honest review
1401772,242875,item provided at no cost
1402089,2532505,product received it free
1402396,359299,product gets 2 stars because someone COULD make it work. It's not a defective product. It's just very hard to make it do what it claims that it can do and the vendor's tech support or the provided documentation are not helping.<br /><br />I can see how a good market for this product would be those technical schools where the students learn how to set up and troubleshoot these things.<br /><br />I titled my review
1403554,2967925,product provided for review
1404434,2209343,product supplied to me by the manufacturer free
1404762,2563769,product was received gratis for review
1405025,570448,unit supplied by the distributor at no cost
1405946,2889947,unit was provided by the manufacturer for this review
1408488,934132,product was provided for review
1408956,3198895,product was provided for review
1410919,1593406,unit was provided to me for testing
1410922,2682679,product was provided for review
1411117,1368913,Item received free
1413567,2113960,"product offers the ingredient I'm looking for, whereas I am skeptical of the others. I'd be happy to provide feedback"
1413700,224813,product was received as a free
1414111,1803270,item provide for review
1415315,1997937,product gives you trouble to post a review
1415333,1343683,item was received in order to facilitate review
1415396,2409315,product was provided at no cost
1415485,2561319,"Product received to test, with the option to review"
1415816,1550655,product was provided for review
1416246,3022623,product was provided for review
1416537,1186521,item was provided as a review
1416601,2994992,product supplied to me free
1417266,2543999,Product sent for review
1418165,144206,Product received for a honest review
1418243,2340310,"product gives off a dull white-noise kinda sound, but at the LOW speed setting, the product is really quiet.<br /><br />For a product that was going for under 50 bucks at the time of this review"
1418267,361635,Item received free
1419186,1313086,Item received free
1419892,1742226,product was provided for review
1420297,3303497,item was received amazingly fast with free
1420362,3260372,item provided for review
1420882,1062749,product was provided for review
1421019,1837026,Product received for a honest review
1421027,1433079,Product provided in exchange for fair and honest review
1422121,2364080,Product provided for review
1422975,3459491,"Product received to test, with the option to review"
1422994,296135,product provided for review
1423355,1183070,item was given to me for my review
1423846,3300306,product was provided by Perfective Ceuticals in exchange for an honest review
1423851,625009,product was provided at or nearly no cost for the purpose of evaluation
1424322,1895180,product was provided at or nearly no cost for the purpose of evaluation
1427985,23145,Product supplied for test and review
1428045,464375,Product received for a honest review
1428097,2336214,Product received to test with the option to review
1429882,335032,Item Received Without Cost For Purpose of Evaluation
1430743,1866550,product was provided for review
1432672,738047,"unit gives you a second (smaller) blade for cutting tiny plate grooves (handy for making small things using FF bisquit).  It is very easy to adjust the depth of the cut, and a knob allows you to adjust it incrementally without the whole thing going out of whack (like the Freud does when you loosen the fence).  The depth gauge works well.  It's set up to be fast and easy to use.  Mine came perfectly adjusted for use the first time (the Freud I tried first did not).  The fence is very flexible to use.  The sandpaper on the machine helps keep it exactly where you set it on the work.<br /><br />TIP 1: be careful that you don't press down at all when you power it on.  If it is down even a 1/8\\"", the blade tip will snag the work and move away from the line.  You can recover easily by repositioning the cutter and trying again, and no damage is done.  Also, the torque in the motor can be enough to move the machine from the center line; the sandpaper helps this.<br /><br />TIP 2: There is a minor design problem with using the unit with fence set to 0 degrees.  For more on the problem, and a simple solution, search the web for \\""pc557 fence alignment\\"" (without quotes).<br /><br />(ADDED July 2008) TIP 3: Rockler dot com makes a three-sided bisquit gauge, sizes 20, 10, and 00, that is great for preview"
1433079,616109,product gets rave review
1433120,549159,item was provided for review
1433378,1447460,product was provided for review
1434941,1197268,product was provided for review
1435288,1885845,"product gives you twenty different makes and models of blades), unless all of your brain cells are not only intact but functioning at an incredible capacity you'll need a tool to help you evaluate what you want to ultimately call \\""your favorite blade\\"".<br /><br />It is hoped this review"
1437201,2597265,Product supplied for review
1437274,138820,Product supplied by manufacturer for testing
1438772,1787836,product was provided for review
1439015,1688249,product was provided for review
